job_title,experience_level,employment_type,company_size,company_location,remote_ratio,salary_currency,years_experience,base_salary,bonus,stock_options,total_salary,salary_in_usd,currency,conversion_rate,adjusted_total_usd
Data Analyst,Mid,Contract,Medium,Germany,0,INR,13,68407.45174688693,1100,19325,88832.45174688693,1065.9894209626432,USD,1.0,88832.45174688693
DevOps Engineer,Mid,Contract,Small,India,100,GBP,9,64193.11777463037,2194,19164,85551.11777463037,111216.4531070195,EUR,1.1,94106.2295520934
Research Scientist,Lead,,Medium,Germany,0,EUR,19,136071.84289891602,3206,12735,152012.84289891602,167214.12718880764,EUR,1.1,167214.12718880764
Software Engineer,Lead,Full-time,Large,India,50,INR,7,141850.9053346147,9594,11158,162602.9053346147,19512.348640153767,USD,1.0,162602.9053346147
Software Engineer,Lead,Intern,Large,Germany,100,INR,10,121841.1632262698,6796,806,129443.1632262698,1553.3179587152376,INR,0.012,1553.3179587152376
Data Analyst,Mid,Contract,Large,UK,0,EUR,14,58008.48567409824,6419,22462,86889.48567409825,95578.43424150808,EUR,1.1,95578.43424150808
Data Scientist,Lead,Intern,Small,Canada,0,EUR,15,126109.48212361592,5074,1660,132843.48212361592,146127.83033597752,INR,0.012,1594.121785483391
DevOps Engineer,Lead,Intern,Medium,India,50,INR,19,121069.47620544094,8075,27588,156732.47620544094,1880.789714465292,USD,1.0,156732.47620544094
ML Engineer,,,Large,Canada,50,GBP,12,92078.01226078976,5997,9567,107642.01226078976,139934.61593902667,CAD,0.75,80731.50919559233
Data Analyst,Senior,Full-time,Large,India,0,CAD,7,105153.99481563125,717,22369,128239.99481563125,96179.99611172342,INR,0.012,1538.879937787575
Research Scientist,Senior,Full-time,Large,USA,0,CAD,1,99908.29214925916,9430,20197,129535.29214925916,97151.46911194436,USD,1.0,129535.29214925916
Data Analyst,Junior,Part-time,Large,Remote,0,INR,18,27344.988023152004,3607,26125,57076.98802315201,684.9238562778241,EUR,1.1,62784.686825467215
Data Scientist,Senior,Full-time,Small,UK,0,INR,14,88328.48518954315,5678,28544,122550.48518954316,1470.6058222745178,CAD,0.75,91912.86389215736
Data Analyst,Junior,Full-time,Medium,Germany,50,CAD,6,42419.92985915084,4982,16061,63462.92985915084,47597.19739436313,EUR,1.1,69809.22284506593
DevOps Engineer,Junior,Full-time,Large,India,50,INR,4,34945.695387806314,9909,8274,53128.69538780632,637.5443446536758,INR,0.012,637.5443446536758
Research Scientist,Junior,Full-time,Large,USA,100,CAD,5,36149.986104142605,1628,28849,66626.9861041426,49970.23957810695,CAD,0.75,49970.23957810695
Software Engineer,Mid,Intern,Medium,Germany,0,CAD,19,79923.86552667015,9140,11508,100571.86552667015,75428.89914500262,EUR,1.1,110629.05207933718
DevOps Engineer,Junior,Contract,Small,Canada,50,EUR,2,41798.64722377336,3456,13737,58991.64722377336,64890.81194615069,CAD,0.75,44243.73541783002
ML Engineer,Mid,Full-time,Medium,USA,100,USD,18,76538.20090961421,2275,27954,106767.2009096142,106767.2009096142,INR,0.012,1281.2064109153705
DevOps Engineer,Senior,Contract,Small,Remote,100,CAD,11,126743.86754014896,1086,15309,143138.86754014896,107354.15065511172,EUR,1.1,157452.75429416387
DevOps Engineer,Mid,Contract,Medium,Germany,50,USD,5,64471.49493967192,2772,28472,95715.49493967192,95715.49493967192,EUR,1.1,105287.04443363912
Research Scientist,Senior,Contract,Large,Germany,100,EUR,10,89840.13199558711,4927,23374,118141.13199558711,129955.24519514584,CAD,0.75,88605.84899669033
DevOps Engineer,Mid,,Large,Remote,0,USD,0,70523.1655140271,3642,16649,90814.1655140271,90814.1655140271,USD,1.0,90814.1655140271
Software Engineer,,,Medium,India,100,GBP,1,821424.3317858571,1998,10903,63968.90032545209,83159.57042308772,CAD,0.75,625743.9988393928
Data Scientist,Mid,Contract,Large,Germany,0,CAD,11,60973.69356200096,1314,29736,92023.69356200096,69017.77017150071,INR,0.012,1104.2843227440117
ML Engineer,Lead,Part-time,Large,Remote,100,GBP,4,137106.63091384096,8894,25175,171175.63091384096,222528.3201879933,EUR,1.1,188293.19400522503
Data Scientist,Senior,Full-time,Medium,Remote,50,INR,12,107094.35594062554,1533,2786,111413.35594062554,1336.9602712875064,USD,1.0,111413.35594062554
Research Scientist,Lead,Full-time,Large,India,50,GBP,6,154372.5890809588,5589,24567,184528.5890809588,239887.16580524645,CAD,0.75,138396.4418107191
ML Engineer,Junior,Contract,Small,UK,100,GBP,2,28113.571190442257,6510,27961,62584.57119044226,81359.94254757493,GBP,1.3,81359.94254757493
Software Engineer,Lead,Part-time,Small,UK,50,USD,12,136983.18764931767,4034,21439,162456.18764931767,162456.18764931767,CAD,0.75,121842.14073698824
Data Analyst,Lead,Full-time,Small,USA,0,CAD,1,133646.48739990717,7300,2857,143803.48739990717,107852.61554993036,USD,1.0,143803.48739990717
Data Analyst,Junior,,Large,India,50,EUR,8,36809.265214209474,5392,2604,44805.265214209474,49285.79173563042,USD,1.0,44805.265214209474
Data Analyst,Senior,Intern,Small,UK,50,EUR,10,120194.35817872825,7955,4990,133139.35817872826,146453.2939966011,INR,0.012,1597.6722981447392
Software Engineer,Mid,Part-time,Small,Canada,100,CAD,5,82614.9809997201,407,18408,101429.9809997201,76072.48574979007,USD,1.0,101429.9809997201
Software Engineer,Lead,Part-time,Large,Germany,100,INR,5,133643.49072013507,9040,2984,145667.49072013507,1748.0098886416208,INR,0.012,1748.0098886416208
Software Engineer,Mid,Full-time,Large,Remote,0,EUR,13,69720.53938889176,5676,17245,92641.53938889176,101905.69332778094,EUR,1.1,101905.69332778094
Data Scientist,Junior,Intern,Medium,USA,100,EUR,8,22271.23529850568,6406,29608,58285.23529850568,64113.75882835625,CAD,0.75,43713.926473879255
